Elo,Ehi,day001,day003,day006,day012,day020,day025,day050,day100,day200
0.01,0.012,0,0,0,0,0,0,0,0,0
0.012,0.015,5.5616e-49,0,0,0,0,0,0,0,0
0.015,0.018,1.2746e-47,3.1549e-50,1.1363e-51,4.8459e-52,2.0446e-51,0,0,0,0
0.018,0.022,7.6405e-47,2.5296e-49,6.598e-51,7.0362e-51,1.3927e-50,1.4298e-50,0,0,0
0.022,0.027,1.6574e-46,6.4453e-49,2.0516e-50,2.4425e-50,3.9019e-50,5.8477e-50,0,0,2.2133e-17
0.027,0.032,2.6054e-46,7.847e-49,2.9378e-50,3.3689e-50,6.3233e-50,8.6083e-50,0,0,2.0475e-17
0.032,0.039,2.5205e-46,8.4897e-49,3.1245e-50,3.5521e-50,6.4543e-50,9.4248e-50,0,0,0
0.039,0.048,2.3618e-46,7.649e-49,3.4298e-50,3.5128e-50,6.436e-50,8.5396e-50,0,0,0
0.048,0.058,1.8675e-46,6.9051e-49,2.8619e-50,3.6344e-50,5.8417e-50,8.7734e-50,0,6.189e-45,0
0.058,0.071,1.6403e-46,5.445e-49,2.4862e-50,3.0598e-50,4.2693e-50,5.681e-50,0,0,7.7266e-18
0.071,0.086,1.1768e-46,4.1716e-49,1.7878e-50,1.9506e-50,4.0081e-50,4.1825e-50,0,0,7.2571e-18
0.086,0.105,9.2923e-47,3.2881e-49,1.7563e-50,2.3442e-50,3.4009e-50,6.025e-50,0,0,0
0.105,0.127,6.7134e-47,2.3321e-49,1.3703e-50,1.8155e-50,2.5575e-50,4.1435e-50,0,2.8369e-45,5.4433e-18
0.127,0.155,5.0699e-47,1.6817e-49,8.0657e-51,1.2586e-50,1.6836e-50,2.8863e-50,0,0,7.8584e-18
0.155,0.188,4.375e-47,1.6233e-49,6.1195e-51,1.0132e-50,1.717e-50,1.4431e-50,0,0,3.0825e-18
0.188,0.229,3.5647e-47,1.3442e-49,5.996e-51,9.1155e-51,1.4285e-50,1.9838e-50,0,0,0
0.229,0.278,3.356e-47,1.125e-49,6.4385e-51,1.086e-50,1.7455e-50,2.0646e-50,0,0,0
0.278,0.338,2.9487e-47,1.0875e-49,8.0219e-51,1.3467e-50,2.0334e-50,2.1289e-50,0,0,3.5798e-18
0.338,0.411,2.6104e-47,1.0711e-49,1.0968e-50,1.7141e-50,2.7345e-50,3.9178e-50,0,0,3.0566e-18
0.411,0.5,2.6054e-47,1.3569e-49,5.0045e-50,7.4922e-50,1.1532e-49,1.5711e-49,0,0,0
0.5,0.508,3.3562e-47,1.1556e-49,4.3959e-53,0,0,0,0,0,1.374e-17
0.508,0.509,2.0661e-47,1.0013e-49,0,0,0,0,0,0,0
0.509,0.51,2.6772e-47,1.196e-49,0,0,0,0,0,0,0
0.51,0.511,7.5019e-46,2.774e-48,1.3888e-51,0,0,0,0,0,0
0.511,0.512,0,0,0,0,0,0,0,0,0
0.512,0.513,0,0,0,0,0,0,0,0,0
0.513,0.514,0,0,0,0,0,0,0,0,0
0.514,0.52,0,0,0,0,0,0,0,0,0
0.52,0.5668,0,0,0,0,0,0,0,0,0
0.5668,0.61781,0,0,0,0,0,0,0,0,2.0841e-18
0.61781,0.67342,0,0,0,0,0,0,0,0,3.8671e-18
0.67342,0.73402,0,0,0,0,0,0,0,0,1.8668e-18
0.73402,0.80008,0,0,0,0,0,0,0,0,1.6206e-18
0.80008,0.87209,0,0,0,0,0,0,0,0,0
0.87209,0.95058,0,0,0,0,0,0,0,0,0
0.95058,1.0361,0,0,0,0,0,0,0,0,7.6761e-18
1.0361,1.1294,0,0,0,0,0,0,0,0,2.3652e-18
1.1294,1.231,0,0,0,0,0,0,0,0,1.1047e-18
1.231,1.3418,0,0,0,0,0,0,0,0,2.9243e-18
1.3418,1.4626,0,0,0,0,0,0,0,0,0
1.4626,1.5942,0,0,0,0,0,0,0,0,0
1.5942,1.7377,0,0,0,0,0,0,0,0,0
1.7377,1.8941,0,0,0,0,0,0,0,0,0
1.8941,2.0646,0,0,0,0,0,0,0,0,0
2.0646,2.2504,0,0,0,0,0,0,0,0,0
2.2504,2.4529,0,0,0,0,0,0,0,0,0
2.4529,2.6737,0,0,0,0,0,0,0,0,0
